iter	RMSE
0	9.497770441
1	9.242848193
2	9.002128262
3	8.776213972
4	8.565932237
5	8.356474474
6	8.158071259
7	7.986504124
8	7.819886096
9	7.657384916
10	7.507794521
11	7.368219183
12	7.234536856
13	7.115771444
14	6.993599043
15	6.881949337
16	6.77950272
17	6.679869457
18	6.58792245
19	6.491666998
20	6.404676808
21	6.328408134
22	6.249526785
23	6.172093613
24	6.099266153
25	6.027297997
26	5.953551197
27	5.892577313
28	5.82939512
29	5.76957891
30	5.72077278
31	5.670720297
32	5.613932868
33	5.563335185
34	5.512026019
35	5.47391273
36	5.434737973
37	5.39196206
38	5.358288423
39	5.318508181
40	5.283989567
41	5.257069207
42	5.230082631
43	5.200305888
44	5.17531435
45	5.15075529
46	5.129556546
47	5.099071152
48	5.07447048
49	5.051568526
50	5.026683569
51	5.005941199
52	4.981080788
53	4.96158981
54	4.941012612
55	4.918212203
56	4.898367953
57	4.881663391
58	4.867101384
59	4.839554336
60	4.815751125
61	4.798261178
62	4.78488982
63	4.766370715
64	4.751655323
65	4.740812728
66	4.730299488
67	4.707027968
68	4.695267733
69	4.683722992
70	4.666846915
71	4.65014134
72	4.632241062
73	4.622893913
74	4.612039895
75	4.600697148
76	4.587308396
77	4.578497399
78	4.564014267
79	4.544076406
80	4.532287266
81	4.519658045
82	4.512277261
83	4.500308772
84	4.494041667
85	4.486661833
86	4.47750734
87	4.467597658
88	4.453509253
89	4.440372515
90	4.436659242
91	4.429628399
92	4.4235876
93	4.411582629
94	4.404796797
95	4.396068418
96	4.391673938
97	4.385739644
98	4.378170873
99	4.373176403
100	4.366261239
101	4.354272867
102	4.349162707
103	4.342087346
104	4.332888736
105	4.323364208
106	4.315140566
107	4.309758362
108	4.29553392
109	4.288181876
110	4.280354977
111	4.270688254
112	4.266449897
113	4.264249783
114	4.259485967
115	4.251735684
116	4.246672334
117	4.243319481
118	4.242253505
119	4.234463762
120	4.227207807
121	4.216679479
122	4.215896552
123	4.212128175
124	4.203750566
125	4.200905554
126	4.19685649
127	4.191128749
128	4.185085654
129	4.182204441
130	4.173417539
131	4.165692013
132	4.156848086
133	4.150406006
134	4.144431336
135	4.140319877
136	4.134607505
137	4.128175064
138	4.127608261
139	4.126461275
140	4.124463945
141	4.119621768
142	4.114094549
143	4.113897914
144	4.109657711
145	4.105108718
146	4.098479807
147	4.095006081
148	4.093168488
149	4.089125318
150	4.083945809
151	4.083405645
152	4.072782457
153	4.066888636
154	4.06287066
155	4.059153403
156	4.055295292
157	4.055276008
158	4.05006646
159	4.046275445
160	4.039236208
161	4.035843566
162	4.030059288
163	4.025971729
164	4.022357449
165	4.017674814
166	4.015158309
167	4.008239057
168	4.00480501
169	4.001450598
170	3.997522343
171	3.994171782
172	3.991859886
173	3.99040725
174	3.984325439
175	3.983061317
176	3.982383193
177	3.977634877
178	3.97152818
179	3.965969415
180	3.964942796
