iter	Passed	Remaining
0	15	6498
1	28	5862
2	43	5978
3	56	5762
4	70	5783
5	84	5790
6	102	5947
7	117	5958
8	131	5928
9	143	5817
10	158	5807
11	172	5782
12	187	5793
13	201	5776
14	215	5750
15	227	5668
16	242	5670
17	255	5624
18	269	5614
19	287	5685
20	302	5674
21	316	5660
22	331	5650
23	345	5635
24	358	5590
25	372	5577
26	387	5567
27	399	5526
28	412	5493
29	424	5447
30	436	5406
31	450	5396
32	465	5384
33	479	5372
34	492	5347
35	505	5316
36	516	5273
37	529	5254
38	543	5239
39	554	5197
40	565	5158
41	577	5126
42	587	5081
43	597	5041
44	611	5031
45	624	5010
46	636	4979
47	649	4963
48	659	4925
49	670	4897
50	684	4882
51	695	4857
52	708	4838
53	720	4817
54	733	4797
55	745	4777
56	759	4767
57	769	4735
58	783	4729
59	795	4705
60	808	4689
61	818	4662
62	829	4637
63	842	4619
64	854	4603
65	867	4588
66	878	4562
67	890	4543
68	902	4527
69	915	4510
70	926	4491
71	939	4475
72	949	4448
73	960	4426
74	973	4414
75	987	4402
76	998	4381
77	1010	4366
78	1021	4344
79	1035	4334
80	1048	4322
81	1062	4313
82	1073	4293
83	1085	4275
84	1097	4260
85	1110	4247
86	1124	4240
87	1137	4226
88	1150	4214
89	1163	4203
90	1178	4197
91	1191	4184
92	1203	4168
93	1214	4147
94	1226	4131
95	1241	4123
96	1254	4111
97	1267	4100
98	1282	4094
99	1294	4078
100	1307	4066
101	1322	4058
102	1337	4050
103	1349	4034
104	1362	4023
105	1373	4003
106	1387	3995
107	1402	3986
108	1417	3979
109	1428	3960
110	1443	3953
111	1458	3946
112	1472	3935
113	1486	3924
114	1497	3905
115	1506	3883
116	1521	3875
117	1531	3855
118	1544	3842
119	1558	3831
120	1570	3814
121	1582	3801
122	1595	3786
123	1605	3767
124	1618	3754
125	1630	3739
126	1641	3723
127	1654	3709
128	1667	3697
129	1679	3682
130	1693	3672
131	1705	3657
132	1720	3647
133	1733	3635
134	1746	3621
135	1760	3611
136	1774	3600
137	1785	3583
138	1799	3572
139	1812	3560
140	1826	3548
141	1839	3535
142	1854	3526
143	1868	3516
144	1880	3501
145	1893	3489
146	1907	3477
147	1919	3462
148	1931	3448
149	1942	3430
150	1956	3420
151	1971	3410
152	1983	3396
153	1996	3383
154	2010	3371
155	2024	3361
156	2038	3349
157	2050	3335
158	2063	3322
159	2076	3309
160	2087	3293
161	2097	3276
162	2110	3262
163	2121	3246
164	2132	3230
165	2143	3214
166	2156	3201
167	2168	3188
168	2180	3173
169	2195	3163
170	2209	3152
171	2221	3137
172	2233	3124
173	2247	3112
174	2261	3101
175	2272	3085
176	2284	3072
177	2297	3058
178	2310	3045
179	2322	3032
180	2335	3019
181	2347	3005
182	2361	2994
183	2376	2983
184	2389	2970
185	2403	2959
186	2417	2947
187	2431	2935
188	2444	2922
189	2456	2909
190	2470	2896
191	2483	2884
192	2498	2873
193	2512	2861
194	2526	2850
195	2538	2836
196	2552	2824
197	2564	2810
198	2579	2800
199	2592	2786
200	2605	2773
201	2619	2762
202	2633	2750
203	2643	2734
204	2656	2721
205	2669	2708
206	2682	2695
207	2695	2682
208	2708	2669
209	2723	2658
210	2737	2646
211	2752	2635
212	2767	2624
213	2781	2612
214	2795	2600
215	2809	2588
216	2823	2576
217	2835	2562
218	2850	2550
219	2862	2537
220	2878	2526
221	2896	2517
222	2909	2505
223	2924	2493
224	2940	2483
225	2953	2470
226	2969	2459
227	2983	2447
228	2998	2435
229	3015	2425
230	3030	2413
231	3044	2401
232	3060	2390
233	3075	2379
234	3090	2367
235	3104	2354
236	3116	2341
237	3130	2328
